stFips,Year,Total_CC,FDH,Other_CC,state_name,state
41,2016,52,0,0,Oregon,OR
41,2017,43,0,0,Oregon,OR
41,2018,43,0,0,Oregon,OR
41,2019,42,0,0,Oregon,OR
41,2020,41,0,0,Oregon,OR
41,2021,41,0,0,Oregon,OR
41,2022,39,0,0,Oregon,OR
41,2023,31,0,0,Oregon,OR
41,2024,30,0,0,Oregon,OR
42,2001,0,1,0,Pennsylvania,PA
42,2002,0,1,0,Pennsylvania,PA
42,2003,0,1,0,Pennsylvania,PA
42,2004,25,1,0,Pennsylvania,PA
42,2005,27,1,0,Pennsylvania,PA
42,2006,29,1,0,Pennsylvania,PA
42,2007,28,1,0,Pennsylvania,PA
42,2008,26,1,0,Pennsylvania,PA
42,2009,25,1,0,Pennsylvania,PA
42,2010,29,2,0,Pennsylvania,PA
42,2011,27,2,0,Pennsylvania,PA
42,2012,29,2,0,Pennsylvania,PA
42,2013,26,1,0,Pennsylvania,PA
42,2014,26,1,0,Pennsylvania,PA
42,2015,27,1,0,Pennsylvania,PA
42,2016,24,1,0,Pennsylvania,PA
42,2017,26,1,0,Pennsylvania,PA
42,2018,29,1,0,Pennsylvania,PA
42,2019,7550,3409,0,Pennsylvania,PA
42,2020,10405,4415,0,Pennsylvania,PA
42,2021,10346,4121,0,Pennsylvania,PA
42,2022,10516,3878,0,Pennsylvania,PA
42,2023,8190,2820,0,Pennsylvania,PA
42,2024,22,0,0,Pennsylvania,PA
44,2000,436,1137,0,Rhode Island,RI
44,2001,438,1242,0,Rhode Island,RI
44,2002,457,1345,0,Rhode Island,RI
44,2003,477,1466,0,Rhode Island,RI
44,2004,479,1483,0,Rhode Island,RI
44,2005,484,1521,0,Rhode Island,RI
44,2006,471,1556,0,Rhode Island,RI
44,2007,453,1497,0,Rhode Island,RI
44,2008,433,1319,0,Rhode Island,RI
44,2009,431,1057,0,Rhode Island,RI
44,2010,424,873,0,Rhode Island,RI
44,2011,450,796,0,Rhode Island,RI
44,2012,440,729,0,Rhode Island,RI
44,2013,443,683,0,Rhode Island,RI
44,2014,441,627,0,Rhode Island,RI
44,2015,428,596,0,Rhode Island,RI
44,2016,447,562,0,Rhode Island,RI
44,2017,438,536,0,Rhode Island,RI
44,2018,445,528,0,Rhode Island,RI
44,2019,462,512,0,Rhode Island,RI
44,2020,469,491,0,Rhode Island,RI
44,2021,448,472,0,Rhode Island,RI
44,2022,440,437,0,Rhode Island,RI
44,2023,429,424,0,Rhode Island,RI
45,2000,2,0,0,South Carolina,SC
45,2001,2,0,0,South Carolina,SC
45,2002,2,0,0,South Carolina,SC
45,2003,2,0,0,South Carolina,SC
45,2004,4,0,0,South Carolina,SC
45,2005,5,0,0,South Carolina,SC
45,2006,5,0,0,South Carolina,SC
45,2007,5,0,0,South Carolina,SC
45,2008,5,0,0,South Carolina,SC
45,2009,4,0,0,South Carolina,SC
45,2010,3,0,0,South Carolina,SC
45,2011,2,0,0,South Carolina,SC
45,2012,1,0,0,South Carolina,SC
45,2015,0,1,0,South Carolina,SC
45,2016,0,3,0,South Carolina,SC
45,2017,0,3,0,South Carolina,SC
45,2018,0,2,0,South Carolina,SC
45,2019,0,2,0,South Carolina,SC
45,2020,0,2,0,South Carolina,SC
46,2013,2,0,1,South Dakota,SD
46,2014,1,0,1,South Dakota,SD
46,2015,0,0,1,South Dakota,SD
46,2016,0,0,1,South Dakota,SD
47,2008,0,1,0,Tennessee,TN
47,2011,0,1,0,Tennessee,TN
47,2012,0,1,0,Tennessee,TN
47,2013,0,1,0,Tennessee,TN
47,2014,0,1,0,Tennessee,TN
47,2018,3606,579,29,Tennessee,TN
47,2019,3624,585,29,Tennessee,TN
47,2020,3624,585,29,Tennessee,TN
47,2021,3624,585,29,Tennessee,TN
47,2022,3625,585,29,Tennessee,TN
47,2023,3625,585,29,Tennessee,TN
47,2024,3625,585,29,Tennessee,TN
48,2000,0,3,0,Texas,TX
48,2001,0,3,0,Texas,TX
48,2002,9038,17939,653,Texas,TX
48,2003,9255,17622,711,Texas,TX
48,2004,8972,16890,751,Texas,TX
48,2005,8947,16244,821,Texas,TX
48,2006,8961,15843,900,Texas,TX
48,2007,9050,18259,990,Texas,TX
48,2008,9156,20326,1108,Texas,TX
48,2009,9179,21029,1219,Texas,TX
48,2010,9092,19437,1316,Texas,TX
48,2011,9026,19862,1551,Texas,TX
48,2012,8846,18273,1700,Texas,TX
48,2013,8798,16430,1705,Texas,TX
48,2014,8706,15371,1721,Texas,TX
48,2015,8676,14607,1692,Texas,TX
48,2016,8677,13349,1744,Texas,TX
48,2017,8699,11995,1829,Texas,TX
48,2018,8764,10722,1826,Texas,TX
48,2019,8872,9763,1805,Texas,TX
48,2020,8726,8801,1766,Texas,TX
48,2021,8676,8310,1686,Texas,TX
48,2022,8518,7596,1600,Texas,TX
48,2023,8521,7014,1588,Texas,TX
50,2002,0,1,0,Vermont,VT
50,2004,0,1,0,Vermont,VT
50,2005,1701,8,141,Vermont,VT
50,2006,2014,15,173,Vermont,VT
50,2007,1932,16,177,Vermont,VT
50,2008,1893,18,181,Vermont,VT
50,2009,1814,18,188,Vermont,VT
50,2010,1746,21,176,Vermont,VT
50,2011,1663,20,178,Vermont,VT
